a0000  7244  4  3.2 0.18  0.596  -0.604 13.570 21.485 2csdA 238 326
a0001  7244  4  1.5 0.08  0.144  -0.641 11.321 17.447 1e1dA  25 133
a0002  7244  4  1.0 0.06  0.080  -0.546  6.808 12.322 1k8tA 413 499
a0003  7244  4  0.8 0.06  0.083  -0.478  9.607 19.909 1r6tA 371 435
a0004  7244  4  0.5 0.02  0.036  -0.921  8.942  9.671 1h6gA  68 185
a0005  7244  4  1.8 0.10  0.287  -0.560 10.154 17.615 1zrlA 187 274
a0006  7244  4  1.2 0.05  0.070  -0.839  8.305  9.818 2b1eA 408 533
a0007  7244  4  1.0 0.06  0.074  -0.529  6.975 13.044 1f88A 200 293
a0008  7244  4  0.8 0.03  0.063  -0.701  8.933 12.654 1pv6A 254 356
a0009  7244  4  0.8 0.04  0.049  -0.622  5.890  9.387 1hf8A  54 163
a0010  7244  4  1.2 0.08  0.188  -0.577 11.382 19.389 1k4wA 171 245
a0011  7244  4  2.0 0.10  0.204  -0.600  7.799 12.657 1yt3A 118 233
a0012  7244  4  1.2 0.05  0.122  -0.862  7.789  8.889 1pw4A 236 359
a0013  7244  4  1.5 0.07  0.120  -0.737  5.878  7.817 1wkbA 672 777
a0014  7244  4  1.2 0.10  0.178  -0.554 10.650 18.900 1fm2A  29  90
a0015  7244  4  1.5 0.08  0.119  -0.580  7.370 12.507 2fug4  41 131
a0016  7244  4  0.5 0.03  0.033  -0.546  5.219  9.499 1wmwA   5  85
a0017  7244  4  2.0 0.07  0.196  -0.877  9.409 10.500 1pw4A 304 428
a0018  7244  4  0.8 0.04  0.106  -0.639  6.693 10.308 2ahzA   2 104
a0019  7244  4  0.8 0.04  0.069  -0.673  5.894  8.652 1jlvA  87 191
a0020  7244  4  0.8 0.05  0.083  -0.506  9.429 18.480 1hn0A 340 410
a0021  7244  4  0.2 0.02  0.023  -0.446  5.944 13.277 1x9nA  44 117
a0022  7244  4  1.8 0.07  0.171  -0.807  7.125  8.616 1tbmA 207 322
a0023  7244  4  2.0 0.10  0.209  -0.625  9.359 14.634 1b3uA 440 548
a0024  7244  4  0.2 0.02  0.015  -0.452  7.333 16.198 1sqsA 162 232
